지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),현지기압(hPa),지면온도(°C),요일,강수량,명칭,태양황경,season
108,서울,2019-01-01 22:00:00,-5.4,0.0,3.1,43.0,1022.9,-5.1,1,0,동지,270,4
108,서울,2019-01-01 23:00:00,-6.0,0.0,1.1,48.0,1022.7,-5.9,1,0,동지,270,4
108,서울,2019-01-02 00:00:00,-6.7,0.0,1.3,50.0,1023.0,-6.7,2,0,동지,270,4
108,서울,2019-01-02 01:00:00,-7.2,0.0,0.8,52.0,1023.2,-7.2,2,0,동지,270,4
108,서울,2019-01-02 07:00:00,-8.5,0.0,0.7,61.0,1023.8,-9.6,2,0,동지,270,4
108,서울,2019-01-02 08:00:00,-8.7,0.0,0.8,63.0,1024.5,-9.7,2,0,동지,270,4
108,서울,2019-01-02 09:00:00,-7.5,0.0,1.4,51.0,1025.1,-7.7,2,0,동지,270,4
108,서울,2019-01-02 10:00:00,-5.6,0.0,1.5,40.0,1025.4,-3.0,2,0,동지,270,4
108,서울,2019-01-02 11:00:00,-4.1,0.0,2.2,33.0,1024.8,1.3,2,0,동지,270,4
108,서울,2019-01-02 12:00:00,-2.8,0.0,3.2,29.0,1023.8,4.6,2,0,동지,270,4
108,서울,2019-01-02 13:00:00,-1.8,0.0,3.0,26.0,1022.8,7.2,2,0,동지,270,4
108,서울,2019-01-02 14:00:00,-0.2,0.0,2.5,22.0,1022.2,8.4,2,0,동지,270,4
108,서울,2019-01-02 15:00:00,0.0,0.0,2.6,23.0,1022.2,7.0,2,0,동지,270,4
108,서울,2019-01-02 16:00:00,0.0,0.0,2.0,22.0,1022.2,3.0,2,0,동지,270,4
108,서울,2019-01-02 17:00:00,-1.0,0.0,1.8,32.0,1022.1,-0.7,2,0,동지,270,4
108,서울,2019-01-02 18:00:00,-2.6,0.0,2.2,37.0,1022.8,-1.9,2,0,동지,270,4
108,서울,2019-01-02 19:00:00,-3.3,0.0,2.0,39.0,1023.0,-2.8,2,0,동지,270,4
108,서울,2019-01-02 20:00:00,-3.9,0.0,1.1,43.0,1023.0,-3.6,2,0,동지,270,4
108,서울,2019-01-02 21:00:00,-4.4,0.0,1.7,44.0,1022.9,-4.1,2,0,동지,270,4
108,서울,2019-01-02 22:00:00,-4.3,0.0,2.0,47.0,1023.1,-4.6,2,0,동지,270,4
108,서울,2019-01-02 23:00:00,-4.6,0.0,1.6,47.0,1023.5,-5.1,2,0,동지,270,4
108,서울,2019-01-03 00:00:00,-5.4,0.0,2.4,46.0,1023.8,-5.7,3,0,동지,270,4
108,서울,2019-01-03 01:00:00,-6.1,0.0,0.8,48.0,1023.8,-6.5,3,0,동지,270,4
108,서울,2019-01-03 07:00:00,-8.3,0.0,0.7,58.0,1024.5,-8.8,3,0,동지,270,4
108,서울,2019-01-03 08:00:00,-8.4,0.0,0.9,56.0,1024.7,-9.1,3,0,동지,270,4
108,서울,2019-01-03 09:00:00,-7.7,0.0,0.5,43.0,1025.3,-7.4,3,0,동지,270,4
108,서울,2019-01-03 10:00:00,-4.8,0.0,1.0,33.0,1025.8,-2.4,3,0,동지,270,4
108,서울,2019-01-03 11:00:00,-2.4,0.0,1.3,30.0,1025.8,2.4,3,0,동지,270,4
108,서울,2019-01-03 12:00:00,-0.4,0.0,1.9,26.0,1025.0,5.8,3,0,동지,270,4
108,서울,2019-01-03 13:00:00,1.1,0.0,1.4,22.0,1024.1,8.3,3,0,동지,270,4
108,서울,2019-01-03 14:00:00,2.4,0.0,1.9,20.0,1023.4,9.3,3,0,동지,270,4
108,서울,2019-01-03 15:00:00,2.9,0.0,2.3,20.0,1023.2,8.0,3,0,동지,270,4
108,서울,2019-01-03 16:00:00,3.2,0.0,1.7,19.0,1022.9,4.4,3,0,동지,270,4
108,서울,2019-01-03 17:00:00,1.5,0.0,1.2,20.0,1023.0,-0.5,3,0,동지,270,4
108,서울,2019-01-03 18:00:00,-0.4,0.0,1.6,22.0,1023.3,-1.7,3,0,동지,270,4
108,서울,2019-01-03 19:00:00,-0.9,0.0,2.0,24.0,1024.2,-2.4,3,0,동지,270,4
108,서울,2019-01-03 20:00:00,-1.7,0.0,1.5,45.0,1025.0,-2.6,3,0,동지,270,4
108,서울,2019-01-03 21:00:00,-2.7,0.0,0.7,47.0,1024.1,-3.4,3,0,동지,270,4
108,서울,2019-01-03 22:00:00,-3.3,0.0,0.7,42.0,1024.0,-4.1,3,0,동지,270,4
108,서울,2019-01-03 23:00:00,-3.9,0.0,1.3,41.0,1024.6,-4.5,3,0,동지,270,4
108,서울,2019-01-04 00:00:00,-3.9,0.0,0.8,47.0,1024.3,-5.0,4,0,동지,270,4
108,서울,2019-01-04 01:00:00,-4.1,0.0,0.4,46.0,1023.9,-5.4,4,0,동지,270,4
108,서울,2019-01-04 07:00:00,-6.0,0.0,1.2,55.0,1021.5,-7.2,4,0,동지,270,4
108,서울,2019-01-04 08:00:00,-6.1,0.0,1.1,54.0,1021.4,-7.1,4,0,동지,270,4
108,서울,2019-01-04 09:00:00,-5.4,0.0,1.3,49.0,1021.9,-5.3,4,0,동지,270,4
108,서울,2019-01-04 10:00:00,-3.5,0.0,0.7,40.0,1022.1,-1.8,4,0,동지,270,4
108,서울,2019-01-04 11:00:00,-1.5,0.0,1.0,37.0,1021.5,0.8,4,0,동지,270,4
108,서울,2019-01-04 12:00:00,-0.4,0.0,0.7,34.0,1020.5,1.7,4,0,동지,270,4
108,서울,2019-01-04 13:00:00,1.1,0.0,1.5,40.0,1020.1,3.2,4,0,동지,270,4
108,서울,2019-01-04 14:00:00,3.1,0.0,2.5,36.0,1019.2,6.1,4,0,동지,270,4
108,서울,2019-01-04 15:00:00,3.9,0.0,2.7,40.0,1018.2,6.3,4,0,동지,270,4
108,서울,2019-01-04 16:00:00,3.0,0.0,1.6,49.0,1017.8,2.3,4,0,동지,270,4
108,서울,2019-01-04 17:00:00,2.7,0.0,1.3,61.0,1017.3,0.9,4,0,동지,270,4
108,서울,2019-01-04 18:00:00,2.3,0.0,1.5,69.0,1017.4,-0.4,4,0,동지,270,4
108,서울,2019-01-04 19:00:00,1.5,0.0,1.0,74.0,1017.2,-0.5,4,0,동지,270,4
108,서울,2019-01-04 20:00:00,1.4,0.0,1.2,75.0,1017.1,-0.3,4,0,동지,270,4
108,서울,2019-01-04 21:00:00,1.4,0.0,1.8,75.0,1016.6,-0.5,4,0,동지,270,4
108,서울,2019-01-04 22:00:00,0.7,0.0,1.1,79.0,1016.3,-1.4,4,0,동지,270,4
108,서울,2019-01-04 23:00:00,0.1,0.0,1.0,81.0,1016.2,-2.0,4,0,동지,270,4
108,서울,2019-01-05 00:00:00,-0.2,0.0,1.7,80.0,1015.8,-2.1,5,0,동지,270,4
108,서울,2019-01-05 01:00:00,-0.4,0.0,2.2,81.0,1016.1,-2.5,5,0,동지,270,4
108,서울,2019-01-05 07:00:00,-4.6,0.0,1.6,50.0,1016.2,-6.4,5,0,동지,270,4
108,서울,2019-01-05 08:00:00,-4.5,0.0,3.3,46.0,1016.8,-6.1,5,0,동지,270,4
108,서울,2019-01-05 09:00:00,-4.7,0.0,2.9,47.0,1017.2,-5.1,5,0,동지,270,4
108,서울,2019-01-05 10:00:00,-4.0,0.0,3.5,45.0,1017.9,-1.9,5,0,동지,270,4
108,서울,2019-01-05 11:00:00,-2.8,0.0,3.7,38.0,1018.1,1.8,5,0,동지,270,4
108,서울,2019-01-05 12:00:00,-2.0,0.0,3.6,34.0,1017.3,3.8,5,0,동지,270,4
108,서울,2019-01-05 13:00:00,-0.7,0.0,2.8,30.0,1016.8,7.7,5,0,동지,270,4
108,서울,2019-01-05 14:00:00,-0.5,0.0,2.4,25.0,1016.2,9.0,5,0,동지,270,4
108,서울,2019-01-05 15:00:00,0.6,0.0,3.5,20.0,1015.9,7.7,5,0,동지,270,4
108,서울,2019-01-05 16:00:00,0.4,0.0,2.7,21.0,1015.5,4.2,5,0,동지,270,4
108,서울,2019-01-05 17:00:00,-0.3,0.0,1.9,21.0,1015.3,-0.9,5,0,동지,270,4
108,서울,2019-01-05 18:00:00,-1.5,0.0,1.6,23.0,1015.8,-2.2,5,0,동지,270,4
108,서울,2019-01-05 19:00:00,-2.1,0.0,1.5,26.0,1016.1,-3.0,5,0,동지,270,4
108,서울,2019-01-05 20:00:00,-2.6,0.0,1.7,28.0,1015.9,-3.7,5,0,동지,270,4
108,서울,2019-01-05 21:00:00,-2.9,0.0,1.8,28.0,1016.4,-3.9,5,0,동지,270,4
108,서울,2019-01-05 22:00:00,-3.9,0.0,1.7,31.0,1016.8,-4.7,5,0,동지,270,4
108,서울,2019-01-05 23:00:00,-4.8,0.0,1.5,35.0,1017.0,-5.4,5,0,동지,270,4
108,서울,2019-01-06 00:00:00,-5.5,0.0,1.4,37.0,1017.1,-5.9,6,0,소한,285,4
108,서울,2019-01-06 01:00:00,-6.0,0.0,1.8,37.0,1017.3,-6.1,6,0,소한,285,4
108,서울,2019-01-06 07:00:00,-5.3,0.0,1.2,38.0,1016.9,-5.0,6,0,소한,285,4
108,서울,2019-01-06 08:00:00,-5.7,0.0,0.7,39.0,1017.7,-5.7,6,0,소한,285,4
108,서울,2019-01-06 09:00:00,-5.2,0.0,0.9,38.0,1018.2,-4.4,6,0,소한,285,4
108,서울,2019-01-06 10:00:00,-4.2,0.0,0.3,35.0,1018.6,-2.2,6,0,소한,285,4
108,서울,2019-01-06 11:00:00,-1.3,0.0,1.7,31.0,1018.5,2.8,6,0,소한,285,4
108,서울,2019-01-06 12:00:00,0.2,0.0,2.2,28.0,1018.3,6.5,6,0,소한,285,4
108,서울,2019-01-06 13:00:00,1.6,0.0,1.3,21.0,1016.9,9.4,6,0,소한,285,4
108,서울,2019-01-06 14:00:00,1.8,0.0,2.1,22.0,1016.9,10.4,6,0,소한,285,4
108,서울,2019-01-06 15:00:00,2.1,0.0,2.8,21.0,1016.7,9.0,6,0,소한,285,4
108,서울,2019-01-06 16:00:00,2.5,0.0,1.8,22.0,1017.2,5.0,6,0,소한,285,4
108,서울,2019-01-06 17:00:00,0.8,0.0,1.8,28.0,1017.3,-1.1,6,0,소한,285,4
108,서울,2019-01-06 18:00:00,-0.9,0.0,1.6,28.0,1017.6,-2.1,6,0,소한,285,4
108,서울,2019-01-06 19:00:00,-1.7,0.0,2.4,35.0,1018.1,-2.6,6,0,소한,285,4
108,서울,2019-01-06 20:00:00,-2.3,0.0,0.7,48.0,1018.1,-3.2,6,0,소한,285,4
108,서울,2019-01-06 21:00:00,-3.1,0.0,1.3,48.0,1018.2,-3.7,6,0,소한,285,4
108,서울,2019-01-06 22:00:00,-3.7,0.0,0.2,49.0,1018.1,-4.4,6,0,소한,285,4
108,서울,2019-01-06 23:00:00,-3.8,0.0,0.4,48.0,1018.1,-4.9,6,0,소한,285,4
108,서울,2019-01-07 00:00:00,-4.1,0.0,0.5,45.0,1017.4,-5.3,0,0,소한,285,4
108,서울,2019-01-07 01:00:00,-4.3,0.0,1.2,51.0,1017.7,-5.7,0,0,소한,285,4
108,서울,2019-01-07 07:00:00,-6.2,0.0,0.6,56.0,1018.0,-7.6,0,0,소한,285,4
108,서울,2019-01-07 08:00:00,-6.0,0.0,0.5,52.0,1018.1,-7.9,0,0,소한,285,4
108,서울,2019-01-07 09:00:00,-5.4,0.0,0.9,51.0,1018.6,-5.6,0,0,소한,285,4
108,서울,2019-01-07 10:00:00,-2.3,0.0,1.6,46.0,1018.8,-0.8,0,0,소한,285,4
108,서울,2019-01-07 11:00:00,-0.5,0.0,2.0,40.0,1018.7,3.4,0,0,소한,285,4
108,서울,2019-01-07 12:00:00,0.6,0.0,2.8,33.0,1017.7,6.6,0,0,소한,285,4
108,서울,2019-01-07 13:00:00,1.4,0.0,2.4,31.0,1017.2,7.7,0,0,소한,285,4
108,서울,2019-01-07 14:00:00,1.7,0.0,3.6,34.0,1016.8,7.4,0,0,소한,285,4
108,서울,2019-01-07 15:00:00,2.6,0.0,3.0,34.0,1016.6,6.1,0,0,소한,285,4
108,서울,2019-01-07 16:00:00,2.7,0.0,1.9,31.0,1016.6,3.6,0,0,소한,285,4
108,서울,2019-01-07 17:00:00,1.7,0.0,1.8,29.0,1016.6,0.0,0,0,소한,285,4
108,서울,2019-01-07 18:00:00,0.6,0.0,1.1,34.0,1016.6,-1.4,0,0,소한,285,4
108,서울,2019-01-07 19:00:00,0.2,0.0,1.6,41.0,1016.4,-1.5,0,0,소한,285,4
108,서울,2019-01-07 20:00:00,-0.3,0.0,2.0,55.0,1016.7,-2.1,0,0,소한,285,4
108,서울,2019-01-07 21:00:00,-0.6,0.0,0.9,63.0,1016.6,-2.3,0,0,소한,285,4
108,서울,2019-01-07 22:00:00,-1.4,0.0,0.8,64.0,1016.4,-2.9,0,0,소한,285,4
108,서울,2019-01-07 23:00:00,-1.9,0.0,0.8,52.0,1016.5,-3.7,0,0,소한,285,4
108,서울,2019-01-08 00:00:00,-2.2,0.0,1.8,43.0,1016.4,-4.0,1,0,소한,285,4
108,서울,2019-01-08 01:00:00,-2.5,0.0,1.0,46.0,1016.3,-4.1,1,0,소한,285,4
108,서울,2019-01-08 07:00:00,-5.4,0.0,0.8,40.0,1016.9,-7.4,1,0,소한,285,4
108,서울,2019-01-08 08:00:00,-5.6,0.0,0.6,42.0,1017.1,-7.5,1,0,소한,285,4
108,서울,2019-01-08 09:00:00,-4.6,0.0,2.3,40.0,1017.5,-5.5,1,0,소한,285,4
108,서울,2019-01-08 10:00:00,-2.9,0.0,2.0,36.0,1018.1,-0.5,1,0,소한,285,4
108,서울,2019-01-08 11:00:00,-2.1,0.0,3.3,32.0,1018.1,5.5,1,0,소한,285,4
108,서울,2019-01-08 12:00:00,-0.9,0.0,2.7,27.0,1017.2,9.7,1,0,소한,285,4
108,서울,2019-01-08 13:00:00,-0.2,0.0,3.2,26.0,1016.8,11.2,1,0,소한,285,4
108,서울,2019-01-08 14:00:00,-0.4,0.0,4.9,23.0,1016.2,10.1,1,0,소한,285,4
108,서울,2019-01-08 15:00:00,0.3,0.0,3.4,20.0,1016.8,8.4,1,0,소한,285,4
108,서울,2019-01-08 16:00:00,0.2,0.0,5.2,23.0,1017.5,3.4,1,0,소한,285,4
108,서울,2019-01-08 17:00:00,-0.8,0.0,5.0,21.0,1017.3,-1.7,1,0,소한,285,4
108,서울,2019-01-08 18:00:00,-2.0,0.0,3.0,21.0,1017.2,-3.5,1,0,소한,285,4
108,서울,2019-01-08 19:00:00,-3.2,0.0,5.1,21.0,1018.6,-4.1,1,0,소한,285,4
108,서울,2019-01-08 20:00:00,-5.0,0.0,6.5,32.0,1019.5,-5.0,1,0,소한,285,4
108,서울,2019-01-08 21:00:00,-5.7,0.0,2.1,34.0,1020.5,-6.1,1,0,소한,285,4
108,서울,2019-01-08 22:00:00,-6.6,0.0,0.6,35.0,1020.8,-7.1,1,0,소한,285,4
108,서울,2019-01-08 23:00:00,-7.1,0.0,1.8,34.0,1021.3,-7.7,1,0,소한,285,4
108,서울,2019-01-09 00:00:00,-7.0,0.0,2.0,34.0,1022.0,-8.0,2,0,소한,285,4
108,서울,2019-01-09 01:00:00,-7.5,0.0,1.1,34.0,1022.2,-8.5,2,0,소한,285,4
108,서울,2019-01-09 07:00:00,-9.3,0.0,0.5,36.0,1024.5,-10.9,2,0,소한,285,4
108,서울,2019-01-09 08:00:00,-9.3,0.0,0.9,37.0,1024.5,-11.0,2,0,소한,285,4
108,서울,2019-01-09 09:00:00,-8.6,0.0,1.5,35.0,1024.9,-7.9,2,0,소한,285,4
108,서울,2019-01-09 10:00:00,-6.2,0.0,1.0,31.0,1025.3,-1.5,2,0,소한,285,4
108,서울,2019-01-09 11:00:00,-3.6,0.0,1.2,27.0,1024.9,3.1,2,0,소한,285,4
108,서울,2019-01-09 12:00:00,-2.4,0.0,1.6,25.0,1023.7,5.8,2,0,소한,285,4
108,서울,2019-01-09 13:00:00,-1.9,0.0,1.4,23.0,1022.7,5.2,2,0,소한,285,4
108,서울,2019-01-09 14:00:00,-0.8,0.0,0.8,20.0,1021.8,8.1,2,0,소한,285,4
108,서울,2019-01-09 15:00:00,0.7,0.0,1.3,19.0,1021.7,5.8,2,0,소한,285,4
108,서울,2019-01-09 16:00:00,0.8,0.0,1.4,20.0,1021.2,2.8,2,0,소한,285,4
108,서울,2019-01-09 17:00:00,-0.4,0.0,1.9,22.0,1020.6,-1.9,2,0,소한,285,4
108,서울,2019-01-09 18:00:00,-2.0,0.0,1.4,24.0,1020.4,-3.7,2,0,소한,285,4
108,서울,2019-01-09 19:00:00,-2.8,0.0,0.8,27.0,1020.2,-4.2,2,0,소한,285,4
108,서울,2019-01-09 20:00:00,-3.4,0.0,1.7,29.0,1020.0,-4.7,2,0,소한,285,4
108,서울,2019-01-09 21:00:00,-4.0,0.0,1.6,30.0,1019.6,-5.0,2,0,소한,285,4
108,서울,2019-01-09 22:00:00,-4.2,0.0,1.6,30.0,1019.6,-4.7,2,0,소한,285,4
108,서울,2019-01-09 23:00:00,-4.4,0.0,1.7,30.0,1019.1,-4.6,2,0,소한,285,4
108,서울,2019-01-10 00:00:00,-4.3,0.0,1.4,31.0,1018.4,-3.8,3,0,소한,285,4
108,서울,2019-01-10 01:00:00,-4.1,0.0,1.2,31.0,1017.8,-3.7,3,0,소한,285,4
108,서울,2019-01-10 07:00:00,-4.3,0.0,0.5,30.0,1016.2,-4.2,3,0,소한,285,4
108,서울,2019-01-10 08:00:00,-4.1,0.0,0.5,32.0,1015.9,-4.4,3,0,소한,285,4
108,서울,2019-01-10 09:00:00,-3.8,0.0,0.6,33.0,1016.0,-2.6,3,0,소한,285,4
108,서울,2019-01-10 10:00:00,-2.2,0.0,1.0,32.0,1016.2,1.0,3,0,소한,285,4
108,서울,2019-01-10 11:00:00,-1.0,0.0,0.4,32.0,1016.1,2.7,3,0,소한,285,4
108,서울,2019-01-10 12:00:00,2.0,0.0,1.6,36.0,1015.1,11.6,3,0,소한,285,4
108,서울,2019-01-10 13:00:00,2.2,0.0,2.5,43.0,1014.2,6.7,3,0,소한,285,4
108,서울,2019-01-10 14:00:00,1.9,0.0,3.0,39.0,1013.8,4.6,3,0,소한,285,4
108,서울,2019-01-10 15:00:00,2.3,0.0,3.0,50.0,1013.9,4.6,3,0,소한,285,4
108,서울,2019-01-10 16:00:00,2.7,0.0,2.7,51.0,1014.2,3.5,3,0,소한,285,4
108,서울,2019-01-10 17:00:00,2.2,0.0,1.8,54.0,1014.5,0.9,3,0,소한,285,4
108,서울,2019-01-10 18:00:00,1.5,0.0,1.6,60.0,1014.6,-0.8,3,0,소한,285,4
108,서울,2019-01-10 19:00:00,1.0,0.0,1.6,65.0,1015.3,-1.2,3,0,소한,285,4
108,서울,2019-01-10 20:00:00,0.8,0.0,1.9,69.0,1015.8,-0.4,3,0,소한,285,4
108,서울,2019-01-10 21:00:00,0.6,0.0,0.8,75.0,1015.4,-0.7,3,0,소한,285,4
108,서울,2019-01-10 22:00:00,0.6,0.0,0.3,77.0,1015.3,-0.7,3,0,소한,285,4
108,서울,2019-01-10 23:00:00,0.5,0.0,0.7,78.0,1015.1,-0.7,3,0,소한,285,4
108,서울,2019-01-11 00:00:00,0.6,0.0,0.7,75.0,1015.2,-0.6,4,0,소한,285,4
108,서울,2019-01-11 01:00:00,0.7,0.0,0.6,75.0,1015.3,-0.9,4,0,소한,285,4
108,서울,2019-01-11 07:00:00,-0.1,0.0,0.6,76.0,1016.2,-1.6,4,0,소한,285,4
108,서울,2019-01-11 08:00:00,-0.3,0.0,1.1,78.0,1016.1,-2.4,4,0,소한,285,4
108,서울,2019-01-11 09:00:00,-0.2,0.0,1.3,75.0,1016.1,-1.5,4,0,소한,285,4
108,서울,2019-01-11 10:00:00,1.1,0.0,1.3,66.0,1016.4,2.3,4,0,소한,285,4
108,서울,2019-01-11 11:00:00,2.9,0.0,1.3,56.0,1016.1,8.2,4,0,소한,285,4
108,서울,2019-01-11 12:00:00,4.7,0.0,1.2,47.0,1015.6,12.5,4,0,소한,285,4
108,서울,2019-01-11 13:00:00,5.9,0.0,0.8,42.0,1014.9,15.5,4,0,소한,285,4
108,서울,2019-01-11 14:00:00,6.8,0.0,0.9,41.0,1013.7,15.0,4,0,소한,285,4
108,서울,2019-01-11 15:00:00,6.5,0.0,0.9,43.0,1013.7,10.0,4,0,소한,285,4
108,서울,2019-01-11 16:00:00,6.0,0.0,0.8,43.0,1013.4,6.2,4,0,소한,285,4
108,서울,2019-01-11 17:00:00,5.0,0.0,1.2,45.0,1013.1,1.5,4,0,소한,285,4
108,서울,2019-01-11 18:00:00,4.3,0.0,1.2,45.0,1013.5,-0.3,4,0,소한,285,4
108,서울,2019-01-11 19:00:00,3.7,0.0,2.2,47.0,1013.6,-0.8,4,0,소한,285,4
108,서울,2019-01-11 20:00:00,2.9,0.0,1.2,49.0,1013.2,-1.9,4,0,소한,285,4
108,서울,2019-01-11 21:00:00,2.2,0.0,0.6,52.0,1012.3,-2.2,4,0,소한,285,4
108,서울,2019-01-11 22:00:00,1.6,0.0,1.5,54.0,1011.9,-2.7,4,0,소한,285,4
108,서울,2019-01-11 23:00:00,1.6,0.0,0.6,54.0,1012.0,-1.5,4,0,소한,285,4
108,서울,2019-01-12 00:00:00,1.2,0.0,0.4,58.0,1011.4,-1.6,5,0,소한,285,4
108,서울,2019-01-12 01:00:00,1.5,0.0,0.2,52.0,1011.2,-1.1,5,0,소한,285,4
108,서울,2019-01-12 07:00:00,1.3,0.0,0.3,53.0,1012.0,-1.1,5,0,소한,285,4
108,서울,2019-01-12 08:00:00,1.0,0.0,0.7,56.0,1012.0,-1.7,5,0,소한,285,4
108,서울,2019-01-12 09:00:00,1.3,0.0,0.4,51.0,1012.2,0.4,5,0,소한,285,4
108,서울,2019-01-12 10:00:00,2.5,0.0,1.5,52.0,1012.6,2.7,5,0,소한,285,4
108,서울,2019-01-12 11:00:00,3.8,0.0,1.0,46.0,1012.3,7.7,5,0,소한,285,4
108,서울,2019-01-12 12:00:00,5.7,0.0,1.3,37.0,1011.6,12.5,5,0,소한,285,4
108,서울,2019-01-12 13:00:00,6.8,0.0,2.0,35.0,1011.0,14.5,5,0,소한,285,4
108,서울,2019-01-12 14:00:00,7.0,0.0,2.9,35.0,1010.8,13.1,5,0,소한,285,4
108,서울,2019-01-12 15:00:00,7.8,0.0,1.8,33.0,1010.6,13.4,5,0,소한,285,4
108,서울,2019-01-12 16:00:00,6.9,0.0,1.7,34.0,1011.6,6.1,5,0,소한,285,4
108,서울,2019-01-12 17:00:00,5.5,0.0,2.9,42.0,1012.5,1.9,5,0,소한,285,4
108,서울,2019-01-12 18:00:00,3.8,0.0,2.8,46.0,1013.0,-0.9,5,0,소한,285,4
108,서울,2019-01-12 19:00:00,2.7,0.0,1.1,48.0,1012.9,-2.0,5,0,소한,285,4
108,서울,2019-01-12 20:00:00,2.2,0.0,1.6,45.0,1013.1,-2.4,5,0,소한,285,4
108,서울,2019-01-12 21:00:00,1.4,0.0,2.7,50.0,1013.0,-2.7,5,0,소한,285,4
108,서울,2019-01-12 22:00:00,0.7,0.0,1.0,53.0,1013.2,-3.5,5,0,소한,285,4
108,서울,2019-01-12 23:00:00,0.0,0.0,0.5,53.0,1013.1,-4.2,5,0,소한,285,4
108,서울,2019-01-13 00:00:00,-0.6,0.0,1.3,56.0,1013.5,-4.4,6,0,소한,285,4
108,서울,2019-01-13 01:00:00,-1.0,0.0,1.9,60.0,1013.9,-4.0,6,0,소한,285,4
108,서울,2019-01-13 07:00:00,-2.9,0.0,0.5,63.0,1014.2,-6.1,6,0,소한,285,4
108,서울,2019-01-13 08:00:00,-2.9,0.0,0.5,64.0,1014.7,-6.0,6,0,소한,285,4
108,서울,2019-01-13 09:00:00,-2.4,0.0,0.4,56.0,1015.4,-3.5,6,0,소한,285,4
108,서울,2019-01-13 10:00:00,-0.3,0.0,1.5,51.0,1015.7,1.7,6,0,소한,285,4
108,서울,2019-01-13 11:00:00,2.5,0.0,1.6,42.0,1015.7,8.4,6,0,소한,285,4
108,서울,2019-01-13 12:00:00,4.0,0.0,1.6,32.0,1014.9,12.7,6,0,소한,285,4
108,서울,2019-01-13 13:00:00,6.3,0.0,2.3,31.0,1014.0,15.1,6,0,소한,285,4
108,서울,2019-01-13 14:00:00,7.0,0.0,2.4,26.0,1013.9,15.7,6,0,소한,285,4
108,서울,2019-01-13 15:00:00,7.1,0.0,3.0,25.0,1014.1,13.0,6,0,소한,285,4
108,서울,2019-01-13 16:00:00,7.2,0.0,1.7,26.0,1013.8,8.5,6,0,소한,285,4
108,서울,2019-01-13 17:00:00,5.7,0.0,1.5,31.0,1014.2,1.4,6,0,소한,285,4
108,서울,2019-01-13 18:00:00,4.3,0.0,1.3,45.0,1014.5,-1.7,6,0,소한,285,4
108,서울,2019-01-13 19:00:00,3.1,0.0,0.3,63.0,1015.1,-2.5,6,0,소한,285,4
108,서울,2019-01-13 20:00:00,2.1,0.0,0.9,71.0,1015.2,-2.6,6,0,소한,285,4
108,서울,2019-01-13 21:00:00,1.4,0.0,1.8,75.0,1015.2,-2.7,6,0,소한,285,4
108,서울,2019-01-13 22:00:00,0.9,0.0,1.0,78.0,1015.4,-2.9,6,0,소한,285,4
108,서울,2019-01-13 23:00:00,0.3,0.0,1.4,74.0,1015.7,-3.3,6,0,소한,285,4
108,서울,2019-01-14 00:00:00,-0.2,0.0,0.2,77.0,1015.8,-3.7,0,0,소한,285,4
108,서울,2019-01-14 01:00:00,-0.7,0.0,1.3,78.0,1015.6,-3.6,0,0,소한,285,4
108,서울,2019-01-14 07:00:00,-2.2,0.0,0.4,82.0,1015.8,-5.2,0,0,소한,285,4
108,서울,2019-01-14 08:00:00,-2.2,0.0,0.5,79.0,1016.1,-5.3,0,0,소한,285,4
