지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),현지기압(hPa),지면온도(°C)
99,파주,2020-01-01 12:00,-2.1,.1,1.4,75,1029.3,1.6
99,파주,2020-01-01 13:00,-1,,.5,72,1028.5,2.9
99,파주,2020-01-01 14:00,-.4,,.8,68,1028.3,2.7
99,파주,2020-01-01 15:00,.3,,1.3,69,1028.2,1.7
99,파주,2020-01-01 16:00,.1,,1.8,69,1028.5,-.1
99,파주,2020-01-01 17:00,-.6,,1.4,74,1028.6,-.4
99,파주,2020-01-01 18:00,-2.1,,.2,80,1028.6,-1.3
99,파주,2020-01-01 19:00,-2.6,,.6,83,1028.7,-1.3
99,파주,2020-01-01 20:00,-3,,.2,88,1028.3,-1.8
99,파주,2020-01-01 21:00,-3.6,,.8,88,1028.7,-1.8
99,파주,2020-01-01 22:00,-4.1,,0,92,1028.6,-2
99,파주,2020-01-01 23:00,-4.6,,.5,92,1028.8,-2.5
99,파주,2020-01-02 00:00,-4.4,,.6,92,1028.3,-2.1
100,대관령,2020-01-01 01:00,-10.2,,4.5,58,934,-10.4
100,대관령,2020-01-01 02:00,-9.9,,3.8,67,934,-10.2
100,대관령,2020-01-01 03:00,-9.2,,3.8,74,933.3,-9.9
100,대관령,2020-01-01 04:00,-8.7,,6.4,76,932.3,-9.4
100,대관령,2020-01-01 05:00,-8.4,,7,77,932.3,-9.2
100,대관령,2020-01-01 06:00,-8,,5.8,76,932.7,-9.2
100,대관령,2020-01-01 07:00,-7.9,,5,76,933.9,-9
100,대관령,2020-01-01 08:00,-7.5,,4.6,76,934.9,-8.9
100,대관령,2020-01-01 09:00,-6.4,,5.5,72,935.8,-7.1
100,대관령,2020-01-01 10:00,-5.1,,5,70,936.3,-3.5
100,대관령,2020-01-01 11:00,-4.1,,4.4,68,936.3,-.7
100,대관령,2020-01-01 12:00,-3.3,,6.3,64,934.8,0
100,대관령,2020-01-01 13:00,-2.5,,5.6,62,934.2,.8
100,대관령,2020-01-01 14:00,-2.8,,6.1,63,934,.8
100,대관령,2020-01-01 15:00,-3.6,,6.7,65,934.6,.1
100,대관령,2020-01-01 16:00,-4.7,,5.5,70,935.1,-.5
100,대관령,2020-01-01 17:00,-5.7,,5.9,74,935.2,-2
100,대관령,2020-01-01 18:00,-6.4,,6.4,78,935.6,-5
100,대관령,2020-01-01 19:00,-6.9,,6,79,935.7,-6.2
100,대관령,2020-01-01 20:00,-7.5,,2.1,82,935.9,-7
100,대관령,2020-01-01 21:00,-7.7,,3.1,84,935.8,-7.5
100,대관령,2020-01-01 22:00,-7.6,,4.7,84,935.5,-7.9
100,대관령,2020-01-01 23:00,-7.7,,3.7,85,935.5,-8
100,대관령,2020-01-02 00:00,-7.7,,4.4,85,935.5,-8.2
101,춘천,2020-01-01 01:00,-8.7,,.7,57,1023.4,-3
101,춘천,2020-01-01 02:00,-7.6,,1.1,48,1023,-2.7
101,춘천,2020-01-01 03:00,-7.6,,.4,57,1022.9,-3
101,춘천,2020-01-01 04:00,-8,,.9,53,1022.8,-3.4
101,춘천,2020-01-01 05:00,-7.7,,.5,62,1022.7,-3
101,춘천,2020-01-01 06:00,-6.8,,.6,66,1022.8,-2.8
101,춘천,2020-01-01 07:00,-6.4,,.8,71,1023.4,-2.6
101,춘천,2020-01-01 08:00,-6.5,,.8,80,1023.7,-2.3
101,춘천,2020-01-01 09:00,-6.2,0,.4,81,1024.3,-1.7
101,춘천,2020-01-01 10:00,-5.4,,.5,80,1024.6,-.9
101,춘천,2020-01-01 11:00,-4.4,,.4,80,1024.2,-.5
101,춘천,2020-01-01 12:00,-3.5,0,.6,79,1023.1,-.3
101,춘천,2020-01-01 13:00,-1.8,,.5,70,1022.1,.2
101,춘천,2020-01-01 14:00,.2,,1.5,64,1021.7,1.6
101,춘천,2020-01-01 15:00,1,,.5,58,1021.4,1.5
101,춘천,2020-01-01 16:00,1,,1.7,60,1021.8,0
101,춘천,2020-01-01 17:00,.2,,1.6,62,1021.9,-.1
101,춘천,2020-01-01 18:00,-.6,,1.1,65,1022.2,-.2
101,춘천,2020-01-01 19:00,-2,,.4,75,1022.4,-.5
101,춘천,2020-01-01 20:00,-3.4,,.6,86,1022.2,-1
101,춘천,2020-01-01 21:00,-4.5,,.1,89,1022.5,-1.5
101,춘천,2020-01-01 22:00,-5.3,,.8,89,1022.4,-2
101,춘천,2020-01-01 23:00,-6,,.4,90,1022.8,-2.5
101,춘천,2020-01-02 00:00,-6.4,,1.1,92,1022.7,-2.9
102,백령도,2020-01-01 01:00,1.8,,7.5,56,1026.1,.2
102,백령도,2020-01-01 02:00,1.7,,6.2,60,1026,.3
102,백령도,2020-01-01 03:00,1.7,,6.7,57,1026.3,.2
102,백령도,2020-01-01 04:00,1.8,,5.4,61,1026.1,.4
102,백령도,2020-01-01 05:00,2.3,,5.8,60,1025.6,.5
102,백령도,2020-01-01 06:00,2.5,0,6.6,58,1025.4,.8
102,백령도,2020-01-01 07:00,2.5,,6.6,62,1025.5,.8
102,백령도,2020-01-01 08:00,2.7,,5.4,60,1026,.8
102,백령도,2020-01-01 09:00,2.7,0,4.4,58,1026.3,2
102,백령도,2020-01-01 10:00,3.3,,4.9,54,1026.6,5.8
102,백령도,2020-01-01 11:00,2,,3.6,76,1026.7,3.1
102,백령도,2020-01-01 12:00,1.6,,3,82,1026.3,4.1
102,백령도,2020-01-01 13:00,1.5,,2.4,81,1025.7,2.8
102,백령도,2020-01-01 14:00,1.8,,1.1,81,1025.2,3.4
102,백령도,2020-01-01 15:00,2.1,0,1,81,1025.5,2.7
102,백령도,2020-01-01 16:00,2.2,,.4,83,1025.6,2.7
102,백령도,2020-01-01 17:00,2,,.9,84,1025.4,1.2
102,백령도,2020-01-01 18:00,1.9,0,0,84,1025.4,.6
102,백령도,2020-01-01 19:00,2.1,,1.1,85,1025.4,1
102,백령도,2020-01-01 20:00,2.2,,3.1,86,1025.2,1.5
102,백령도,2020-01-01 21:00,2.1,0,1.9,86,1025.4,1.2
102,백령도,2020-01-01 22:00,2.3,,2.4,86,1025.7,1.5
102,백령도,2020-01-01 23:00,2.3,,1.4,86,1025.4,1.3
102,백령도,2020-01-02 00:00,2.2,,1.5,86,1024.9,1.2
104,북강릉,2020-01-01 01:00,-3.5,,3,32,1017.5,-3.8
104,북강릉,2020-01-01 02:00,-3.6,,1.3,39,1017.5,-3.9
104,북강릉,2020-01-01 03:00,-3.4,,.8,43,1017.4,-4.2
104,북강릉,2020-01-01 04:00,-5.2,,.4,53,1016.8,-4.4
104,북강릉,2020-01-01 05:00,-3.1,,1,48,1016.6,-4.1
104,북강릉,2020-01-01 06:00,-5.3,,.5,58,1016.9,-4.5
104,북강릉,2020-01-01 07:00,-4.2,,.7,53,1017.4,-4.6
104,북강릉,2020-01-01 08:00,-3.8,,2,51,1017.8,-4.2
104,북강릉,2020-01-01 09:00,-.6,,.6,42,1018.3,-1.7
104,북강릉,2020-01-01 10:00,2.1,,.8,34,1018.4,.2
104,북강릉,2020-01-01 11:00,3.6,,1.4,31,1018.1,3.3
104,북강릉,2020-01-01 12:00,5.3,,.4,25,1016.8,6.8
104,북강릉,2020-01-01 13:00,6.3,,1.9,23,1015.9,8.4
104,북강릉,2020-01-01 14:00,6.3,,2.7,25,1015.7,7.2
104,북강릉,2020-01-01 15:00,5.2,,3.2,27,1016.4,4.6
104,북강릉,2020-01-01 16:00,4.1,,2.3,32,1016.6,1.5
104,북강릉,2020-01-01 17:00,2,,2.5,38,1017.1,-1.8
104,북강릉,2020-01-01 18:00,.7,,3.1,45,1017.6,-.4
104,북강릉,2020-01-01 19:00,.6,,3.5,44,1017.6,-.7
104,북강릉,2020-01-01 20:00,.3,,3.1,43,1017.2,-.9
104,북강릉,2020-01-01 21:00,-.1,,1.7,44,1017.3,-1.2
104,북강릉,2020-01-01 22:00,-.6,,2.3,46,1017.2,-1.5
104,북강릉,2020-01-01 23:00,-.5,,2.8,44,1017.2,-1.8
104,북강릉,2020-01-02 00:00,-.8,,2.1,45,1017.5,-2
105,강릉,2020-01-01 01:00,-2.3,,5.2,37,,-3.6
105,강릉,2020-01-01 02:00,-1.6,,3.9,38,,-3.5
105,강릉,2020-01-01 03:00,-1.4,,5.6,45,,-3.2
105,강릉,2020-01-01 04:00,-.9,,5.1,46,,-2.8
105,강릉,2020-01-01 05:00,-1,,4.2,48,,-3.1
105,강릉,2020-01-01 06:00,-.7,,3.7,48,,-3.1
105,강릉,2020-01-01 07:00,-.4,,4.2,48,,-2.8
105,강릉,2020-01-01 08:00,0,,4.8,47,,-2.3
105,강릉,2020-01-01 09:00,1.5,,3.8,43,,-1.2
105,강릉,2020-01-01 10:00,2.9,,4.2,39,,1.3
105,강릉,2020-01-01 11:00,4.3,,3.9,36,,7.4
105,강릉,2020-01-01 12:00,5.4,,3.7,34,,12
105,강릉,2020-01-01 13:00,5.7,,4.5,34,,12.1
105,강릉,2020-01-01 14:00,6,,4,34,,12.6
105,강릉,2020-01-01 15:00,5.1,,4.7,36,,9
105,강릉,2020-01-01 16:00,4.1,,5.7,37,,3.1
105,강릉,2020-01-01 17:00,2.4,,5.8,43,,.7
105,강릉,2020-01-01 18:00,1.8,,4.8,45,,-.5
105,강릉,2020-01-01 19:00,1.6,,5.3,44,,-.9
105,강릉,2020-01-01 20:00,1.3,,5,44,,-1.3
105,강릉,2020-01-01 21:00,1.3,,4.3,42,,-1.6
105,강릉,2020-01-01 22:00,1,,4.6,43,,-1.7
105,강릉,2020-01-01 23:00,.8,,5.6,44,,-1.6
105,강릉,2020-01-02 00:00,.7,,4.8,47,,-1.8
106,동해,2020-01-01 01:00,-1.6,,4.4,26,1022.8,-3
106,동해,2020-01-01 02:00,-.9,,6.9,32,1022.3,-2.4
106,동해,2020-01-01 03:00,-1.6,,.9,36,1022.2,-3
106,동해,2020-01-01 04:00,-.7,,2.2,39,1021.8,-2.8
106,동해,2020-01-01 05:00,-1.4,,.9,42,1021.9,-3.5
106,동해,2020-01-01 06:00,-1.9,,.7,47,1022.3,-3.5
106,동해,2020-01-01 07:00,-2,,1.3,49,1022.6,-3.6
106,동해,2020-01-01 08:00,-.9,,2,46,1022.9,-3.2
106,동해,2020-01-01 09:00,2,,3.2,38,1023.3,-.8
106,동해,2020-01-01 10:00,2.9,,3.6,35,1023.6,1.5
106,동해,2020-01-01 11:00,3.8,,3.9,33,1023.4,5.7
106,동해,2020-01-01 12:00,4.7,,4.6,30,1021.9,9.9
106,동해,2020-01-01 13:00,5.3,,4,29,1021.2,12.6
106,동해,2020-01-01 14:00,5.4,,4.8,29,1020.6,11.7
106,동해,2020-01-01 15:00,5.6,,5.5,28,1020.9,6.7
106,동해,2020-01-01 16:00,5.1,,3.4,29,1021.4,4.2
106,동해,2020-01-01 17:00,3.6,,1.1,35,1021.9,1.4
106,동해,2020-01-01 18:00,2.6,,1.1,37,1022.5,-.5
106,동해,2020-01-01 19:00,2,,2.4,38,1022.4,-1
106,동해,2020-01-01 20:00,1.4,,1.7,41,1022.2,-1.7
106,동해,2020-01-01 21:00,2.1,,2.1,34,1022.3,-1.2
106,동해,2020-01-01 22:00,.7,,2,42,1022.4,-1.7
106,동해,2020-01-01 23:00,.6,,2.1,44,1022.3,-2.3
106,동해,2020-01-02 00:00,-.1,,2.1,44,1022.5,-2.5
108,서울,2020-01-01 01:00,-5.9,,1.7,40,1021.8,-2.4
108,서울,2020-01-01 02:00,-5.7,,.1,42,1021.6,-2.4
108,서울,2020-01-01 03:00,-5.6,0,0,46,1021.5,-2.7
108,서울,2020-01-01 04:00,-5.4,,0,50,1021.6,-2.5
108,서울,2020-01-01 05:00,-5.2,,0,55,1021.1,-2.2
108,서울,2020-01-01 06:00,-4.8,0,1.9,58,1021.3,-2.1
108,서울,2020-01-01 07:00,-4.6,,2.1,62,1021.6,-2
108,서울,2020-01-01 08:00,-4.6,,1.8,64,1021.7,-1.9
108,서울,2020-01-01 09:00,-4.3,0,2.3,70,1022.2,-1.6
108,서울,2020-01-01 10:00,-4.2,,1.9,76,1022.8,-1.1
108,서울,2020-01-01 11:00,-3.4,,1.5,75,1022.4,-.4
108,서울,2020-01-01 12:00,-2.2,.1,1.7,72,1021.4,-.1
108,서울,2020-01-01 13:00,-1,,1.6,67,1020.6,.4
108,서울,2020-01-01 14:00,-.4,,1.2,65,1020.5,.4
108,서울,2020-01-01 15:00,.3,,0,62,1020.4,.8
108,서울,2020-01-01 16:00,.3,,0,64,1020.8,.1
108,서울,2020-01-01 17:00,.2,,.9,65,1020.8,-.2
108,서울,2020-01-01 18:00,.1,,.8,66,1020.8,-.1
108,서울,2020-01-01 19:00,.1,,.3,65,1020.8,-.1
108,서울,2020-01-01 20:00,0,,1.7,67,1020.5,-.1
108,서울,2020-01-01 21:00,-.4,,2.5,71,1020.7,-.3
108,서울,2020-01-01 22:00,-.9,,1.5,71,1020.8,-.3
108,서울,2020-01-01 23:00,-.9,,1,70,1021,-.3
108,서울,2020-01-02 00:00,-.7,,2.1,70,1020.3,-.4
112,인천,2020-01-01 01:00,-5.2,,2.5,55,1023.8,-4.4
112,인천,2020-01-01 02:00,-5.3,,2,58,1023.5,-6.3
112,인천,2020-01-01 03:00,-5.4,0,2.5,62,1023.5,-6
112,인천,2020-01-01 04:00,-5.3,,2.6,65,1023.5,-5.5
112,인천,2020-01-01 05:00,-4.8,,2,65,1022.9,-4.1
112,인천,2020-01-01 06:00,-4.6,0,1.9,63,1023.1,-3.9
112,인천,2020-01-01 07:00,-4.4,,3,61,1023.3,-3.9
112,인천,2020-01-01 08:00,-4.1,,2.4,63,1023.5,-3.6
112,인천,2020-01-01 09:00,-3.7,,2.5,66,1023.8,-2.7
112,인천,2020-01-01 10:00,-3.1,,1.7,69,1024.5,-1.4
112,인천,2020-01-01 11:00,-2.1,,1.7,70,1024.1,.3
112,인천,2020-01-01 12:00,-.9,0,1.5,66,1023.2,2.2
112,인천,2020-01-01 13:00,.9,,1,61,1022.6,7
112,인천,2020-01-01 14:00,1.8,,1.3,61,1022.2,6.3
112,인천,2020-01-01 15:00,1.3,,1.4,64,1022.4,2.9
112,인천,2020-01-01 16:00,1.3,,1.8,68,1022.7,1
112,인천,2020-01-01 17:00,.9,,1.4,69,1022.9,-.6
112,인천,2020-01-01 18:00,.7,,1.1,71,1022.9,-.4
112,인천,2020-01-01 19:00,.8,,1.3,73,1022.8,-.6
112,인천,2020-01-01 20:00,.8,,.9,72,1022.5,-.7
112,인천,2020-01-01 21:00,.7,,.9,72,1022.6,-.6
112,인천,2020-01-01 22:00,.7,,1.5,72,1022.7,-.5
112,인천,2020-01-01 23:00,.7,,1.3,71,1022.8,-.5
112,인천,2020-01-02 00:00,.7,,1.7,69,1022.1,-.6
114,원주,2020-01-01 01:00,-6.6,,.5,43,1014.3,-3.3
114,원주,2020-01-01 02:00,-6.1,,.6,40,1013.8,-2.9
114,원주,2020-01-01 03:00,-6.7,0,1.1,55,1013.8,-3
114,원주,2020-01-01 04:00,-6.4,,.1,53,1013.7,-2.8
114,원주,2020-01-01 05:00,-6.2,,1.8,53,1013.7,-2.9
114,원주,2020-01-01 06:00,-6.3,0,.6,60,1013.8,-2.7
114,원주,2020-01-01 07:00,-6.3,,1.1,66,1014,-2.7
114,원주,2020-01-01 08:00,-6.4,,1.2,71,1014.5,-2.7
114,원주,2020-01-01 09:00,-6.3,0,.8,76,1014.8,-2.3
114,원주,2020-01-01 10:00,-5.8,,.9,77,1015.1,-1.2
114,원주,2020-01-01 11:00,-5.1,,.4,75,1014.8,-.6
114,원주,2020-01-01 12:00,-3.6,0,.4,74,1013.5,-.3
114,원주,2020-01-01 13:00,-1.8,,.7,71,1012.8,.4
114,원주,2020-01-01 14:00,-.8,,.7,71,1012.7,.6
114,원주,2020-01-01 15:00,-.3,0,.2,69,1012.4,.5
114,원주,2020-01-01 16:00,.3,,.8,68,1012.8,0
114,원주,2020-01-01 17:00,-.4,,.9,71,1013.3,-.3
114,원주,2020-01-01 18:00,-.4,,.3,72,1013.2,-.3
114,원주,2020-01-01 19:00,-.2,,.1,73,1013.2,-.3
114,원주,2020-01-01 20:00,-.3,,.7,74,1012.8,-.4
114,원주,2020-01-01 21:00,-.4,,.3,74,1012.9,-.5
114,원주,2020-01-01 22:00,-.8,,.2,76,1012.8,-.7
114,원주,2020-01-01 23:00,-1,,.1,78,1012.9,-.9
114,원주,2020-01-02 00:00,-1.2,,.2,79,1012.7,-.9
115,울릉도,2020-01-01 01:00,-.4,,2.7,65,998.6,0
115,울릉도,2020-01-01 02:00,-.5,,2,64,998.4,-.1
115,울릉도,2020-01-01 03:00,-.3,,2.4,55,998.4,-.1
115,울릉도,2020-01-01 04:00,-.2,,2.5,62,997.7,-.1
115,울릉도,2020-01-01 05:00,0,,3.1,55,997.7,-.1
115,울릉도,2020-01-01 06:00,.2,,1.3,53,997.9,-.3
115,울릉도,2020-01-01 07:00,.3,,1.8,56,998.3,-.6
115,울릉도,2020-01-01 08:00,.9,,2,61,998.6,-.3
115,울릉도,2020-01-01 09:00,1.8,,3.4,55,999.4,-.1
115,울릉도,2020-01-01 10:00,2.2,,1.5,51,1000,-.2
115,울릉도,2020-01-01 11:00,2.4,,2,57,999.8,-.1
115,울릉도,2020-01-01 12:00,2.5,,1.1,62,998.9,-.1
115,울릉도,2020-01-01 13:00,2.9,,1.5,59,998.3,0
115,울릉도,2020-01-01 14:00,3.1,,1.4,58,998.2,0
115,울릉도,2020-01-01 15:00,3.2,,2.2,58,998.6,.3
115,울릉도,2020-01-01 16:00,3.6,,1.1,54,999,2.8
115,울릉도,2020-01-01 17:00,3.1,,.5,52,999.3,1.1
115,울릉도,2020-01-01 18:00,2.9,,1.2,56,999.7,.6
115,울릉도,2020-01-01 19:00,3.1,,1.3,52,999.9,.7
115,울릉도,2020-01-01 20:00,3.3,,1.2,52,999.6,.5
115,울릉도,2020-01-01 21:00,3,,2.3,56,999.5,0
115,울릉도,2020-01-01 22:00,3,,2.7,55,999.3,-.4
115,울릉도,2020-01-01 23:00,3,,1.5,54,998.9,-.1
115,울릉도,2020-01-02 00:00,3.2,,1.8,56,998.9,.5
119,수원,2020-01-01 01:00,-6.3,,2.4,74,1028.6,-3.8
119,수원,2020-01-01 02:00,-6.2,,1.6,70,1028.2,-4.2
119,수원,2020-01-01 03:00,-5.8,0,1.6,65,1028.3,-4.1
119,수원,2020-01-01 04:00,-5.4,,1.3,64,1028.3,-3.5
119,수원,2020-01-01 05:00,-5.1,,1,67,1027.6,-3.3
119,수원,2020-01-01 06:00,-4.9,0,2,68,1027.7,-3.1
119,수원,2020-01-01 07:00,-4.7,,1.9,70,1028,-2.9
119,수원,2020-01-01 08:00,-4.5,,1.6,75,1028.1,-2.8
119,수원,2020-01-01 09:00,-3.9,,1.2,79,1028.5,-2
119,수원,2020-01-01 10:00,-3.5,,1.5,82,1028.9,-1.2
119,수원,2020-01-01 11:00,-3,,1.5,83,1028.6,-.7
119,수원,2020-01-01 12:00,-2.5,,1.4,79,1027.8,-.2
119,수원,2020-01-01 13:00,-1.5,,1.7,80,1027,.6
119,수원,2020-01-01 14:00,-.5,,1.1,79,1026.7,.7
119,수원,2020-01-01 15:00,0,,1.2,79,1026.8,.2
119,수원,2020-01-01 16:00,.2,,1.2,80,1027.2,0
119,수원,2020-01-01 17:00,.1,,.7,85,1027.2,-.3
119,수원,2020-01-01 18:00,0,,1.2,87,1027.2,-.2
119,수원,2020-01-01 19:00,-.1,,1,89,1027.1,-.3
119,수원,2020-01-01 20:00,-.3,,.7,90,1026.8,-.2
119,수원,2020-01-01 21:00,0,,.2,87,1026.8,-.2
119,수원,2020-01-01 22:00,-.1,,.4,89,1026.9,-.2
119,수원,2020-01-01 23:00,0,,.3,90,1027.1,-.3
119,수원,2020-01-02 00:00,-.2,,.7,90,1026.6,-.4
121,영월,2020-01-01 01:00,-8.7,,.6,68,1002.6,-7.1
