구분,죄종,발생검거,건수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동대문,강간,발생,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동대문,강간,검거,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동대문,절도,발생,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동대문,절도,검거,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동대문,폭력,발생,4284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동대문,폭력,검거,4206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마포,살인,발생,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마포,살인,검거,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마포,강도,발생,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마포,강도,검거,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마포,강간,발생,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마포,강간,검거,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마포,절도,발생,1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마포,절도,검거,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마포,폭력,발생,3931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마포,폭력,검거,3678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영등포,살인,발생,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영등포,살인,검거,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영등포,강도,발생,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영등포,강도,검거,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영등포,강간,발생,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영등포,강간,검거,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영등포,절도,발생,1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영등포,절도,검거,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영등포,폭력,발생,3225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영등포,폭력,검거,2965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성동,살인,발생,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성동,살인,검거,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성동,강도,발생,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성동,강도,검거,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성동,강간,발생,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성동,강간,검거,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성동,절도,발생,1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성동,절도,검거,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성동,폭력,발생,3198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성동,폭력,검거,2871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동작,살인,발생,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동작,살인,검거,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동작,강도,발생,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동작,강도,검거,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동작,강간,발생,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동작,강간,검거,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동작,절도,발생,1448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동작,절도,검거,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동작,폭력,발생,3367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동작,폭력,검거,3086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광진,살인,발생,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광진,살인,검거,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광진,강도,발생,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광진,강도,검거,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광진,강간,발생,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광진,강간,검거,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광진,절도,발생,1738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광진,절도,검거,697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광진,폭력,발생,4575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광진,폭력,검거,4379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서부,살인,발생,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서부,살인,검거,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서부,강도,발생,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서부,강도,검거,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서부,강간,발생,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서부,강간,검거,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서부,절도,발생,822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서부,절도,검거,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서부,폭력,발생,3032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서부,폭력,검거,2715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강북,살인,발생,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강북,살인,검거,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강북,강도,발생,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강북,강도,검거,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강북,강간,발생,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강북,강간,검거,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강북,절도,발생,859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강북,절도,검거,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강북,폭력,발생,3624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강북,폭력,검거,3446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금천,살인,발생,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금천,살인,검거,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금천,강도,발생,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금천,강도,검거,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금천,강간,발생,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금천,강간,검거,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금천,절도,발생,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금천,절도,검거,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금천,폭력,발생,4808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금천,폭력,검거,4376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중랑,살인,발생,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중랑,살인,검거,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중랑,강도,발생,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중랑,강도,검거,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중랑,강간,발생,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중랑,강간,검거,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중랑,절도,발생,1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중랑,절도,검거,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중랑,폭력,발생,3887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중랑,폭력,검거,3744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강남,살인,발생,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강남,살인,검거,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강남,강도,발생,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강남,강도,검거,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강남,강간,발생,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강남,강간,검거,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강남,절도,발생,2653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강남,절도,검거,523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강남,폭력,발생,4892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강남,폭력,검거,4345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관악,살인,발생,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관악,살인,검거,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관악,강도,발생,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관악,강도,검거,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관악,강간,발생,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관악,강간,검거,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관악,절도,발생,1764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관악,절도,검거,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관악,폭력,발생,2921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관악,폭력,검거,2658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강서,살인,발생,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강서,살인,검거,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강서,강도,발생,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강서,강도,검거,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강서,강간,발생,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강서,강간,검거,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강서,절도,발생,1559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강서,절도,검거,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강서,폭력,발생,4361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강서,폭력,검거,3988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강동,살인,발생,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강동,살인,검거,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강동,강도,발생,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강동,강도,검거,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강동,강간,발생,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강동,강간,검거,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강동,절도,발생,1838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강동,절도,검거,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강동,폭력,발생,4716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강동,폭력,검거,4333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종암,살인,발생,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종암,살인,검거,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종암,강도,발생,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종암,강도,검거,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종암,강간,발생,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종암,강간,검거,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종암,절도,발생,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종암,절도,검거,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종암,폭력,발생,2959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종암,폭력,검거,2787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구로,살인,발생,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구로,살인,검거,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구로,강도,발생,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구로,강도,검거,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구로,강간,발생,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구로,강간,검거,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구로,절도,발생,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구로,절도,검거,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구로,폭력,발생,3275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구로,폭력,검거,3056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서초,살인,발생,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서초,살인,검거,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서초,강도,발생,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서초,강도,검거,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서초,강간,발생,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서초,강간,검거,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서초,절도,발생,1079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서초,절도,검거,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서초,폭력,발생,2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서초,폭력,검거,2538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양천,살인,발생,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양천,살인,검거,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양천,강도,발생,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양천,강도,검거,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양천,강간,발생,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양천,강간,검거,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양천,절도,발생,1383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양천,절도,검거,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양천,폭력,발생,2871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양천,폭력,검거,2611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송파,살인,발생,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송파,살인,검거,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송파,강도,발생,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송파,강도,검거,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송파,강간,발생,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송파,강간,검거,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송파,절도,발생,1672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송파,절도,검거,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송파,폭력,발생,3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송파,폭력,검거,3224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노원,살인,발생,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노원,살인,검거,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노원,강도,발생,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노원,강도,검거,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노원,강간,발생,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노원,강간,검거,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노원,절도,발생,741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노원,절도,검거,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노원,폭력,발생,2321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노원,폭력,검거,2231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
방배,살인,발생,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
방배,살인,검거,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
방배,강도,발생,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
방배,강도,검거,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
방배,강간,발생,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
방배,강간,검거,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
방배,절도,발생,746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
방배,절도,검거,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
방배,폭력,발생,1540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
방배,폭력,검거,1425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은평,살인,발생,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은평,살인,검거,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은평,강도,발생,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은평,강도,검거,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은평,강간,발생,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은평,강간,검거,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은평,절도,발생,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은평,절도,검거,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은평,폭력,발생,2223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은평,폭력,검거,2092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도봉,살인,발생,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도봉,살인,검거,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도봉,강도,발생,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도봉,강도,검거,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도봉,강간,발생,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도봉,강간,검거,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도봉,절도,발생,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도봉,절도,검거,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도봉,폭력,발생,2778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도봉,폭력,검거,2642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수서,살인,발생,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수서,살인,검거,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수서,강도,발생,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수서,강도,검거,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수서,강간,발생,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수서,강간,검거,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수서,절도,발생,1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수서,절도,검거,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수서,폭력,발생,3351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수서,폭력,검거,2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
