id,genres,vote_average,vote_count,popularity,title,keywords,overview,score
10193,Animation Family Comedy,7.6,4597,59.99541800000001,Toy Story 3,hostage college toy barbie animation escape day care teddy bear duringcreditsstinger toy comes to life personification inanimate objects coming to life toy story,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",7.418026499345453
534,Action Science Fiction Thriller,5.9,2463,71.862892,Terminator Salvation,saving the world artificial intelligence prophecy san francisco cyborg killer robot gas station post-apocalyptic dystopia army firearm wartime los angeles,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",6.35431899704462
168259,Action,7.3,4176,102.32221700000001,Furious 7,car race speed revenge suspense car race muscle car,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,7.196988516541589
72190,Action Drama Horror Science Fiction Thriller,6.7,5560,81.834855,World War Z,dystopia apocalypse zombie nuclear weapons multiple perspectives zombie apocalypse,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",6.7653503100518675
127585,Action Adventure Fantasy Science Fiction,7.5,6032,118.07869099999999,X-Men: Days of Future Past,1970s mutant time travel marvel comic based on comic book superhuman storm beast aftercreditsstinger changing the past or future,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,7.374563901947517
54138,Action Adventure Science Fiction,7.4,4418,78.29101800000001,Star Trek Into Darkness,spacecraft friendship sequel futuristic space alien imax space opera terrorist bombing 3d,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",7.271588730561941
81005,Action Family Fantasy,5.5,2598,43.349855,Jack the Giant Slayer,based on fairy tale giant,"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.",6.1062500527201635
64682,Drama Romance,7.3,3769,61.196070999999996,The Great Gatsby,based on novel infidelity obsession hope 3d,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",7.1895116692027905
9543,Adventure Fantasy Action Romance,6.2,2317,62.169881000000004,Prince of Persia: The Sands of Time,persia sandstorm brother against brother armageddon regent based on video game,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",6.537557812457942
68726,Action Science Fiction Adventure,6.7,4794,56.523205000000004,Pacific Rim,dystopia giant robot giant monster apocalypse imax duringcreditsstinger 3d,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",6.772897855058159
38356,Action Science Fiction Adventure,6.1,3299,28.529607000000002,Transformers: Dark of the Moon,moon spacecraft traitor bodyguard alien planet based on cartoon transformers giant robot sabotage word domination commando duringcreditsstinger,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.",6.408819195290951
217,Adventure Action,5.7,2495,75.674458,Indiana Jones and the Kingdom of the Crystal Skull,saving the world riddle whip treasure mexico city leather jacket machinegun alien phenomenons maya civilization peru treasure hunt nuclear explosion refrigerator archaeologist indiana jones archeology ,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",6.235812003020199
62177,Animation Adventure Comedy Family Action Fantasy,6.7,4641,125.114374,Brave,scotland rebel bravery kingdom archer wish bear scot rebellious daughter turns into animal archery ruins aftercreditsstinger peace offering woman director courage 3d,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",6.7746192137987675
188927,Action Adventure Science Fiction,6.6,2568,65.352913,Star Trek Beyond,sequel stranded hatred space opera,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",6.751445110268639
10681,Animation Family,7.8,6296,66.390712,WALL·E,romantic comedy,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",7.6108339562706195
14161,Action Adventure Science Fiction,5.6,4903,45.274225,2012,civilization natural disaster end of the world disaster apocalypse destruction volcanic eruption mayan ark solar destruction  of mankind,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",5.971692487300521
76757,Science Fiction Fantasy Action Adventure,5.2,2768,85.36908000000001,Jupiter Ascending,jupiter space woman director 3d interspecies romance,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",5.9036053607779895
258489,Action Adventure,5.5,2430,42.741719,The Legend of Tarzan,africa feral child tarzan jungle animal attack,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",6.130111454851404
411,Adventure Family Fantasy,6.7,2629,67.391328,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",saving the world witch based on novel brother sister relationship self sacrifice winter cupboard beaver lion fairy-tale figure battle narnia fantasy world duringcreditsstinger,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",6.808225754104788
246655,Science Fiction,6.4,4721,139.272042,X-Men: Apocalypse,mutant supernatural powers marvel comic superhero based on comic book superhuman apocalypse superhero team world domination aftercreditsstinger 1980s,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",6.557790001202508
155,Drama Action Crime Thriller,8.2,12002,187.322927,The Dark Knight,dc comics crime fighter secret identity scarecrow sadism chaos gotham city vigilante joker superhero based on comic book tragic hero organized crime criminal mastermind district attorney imax super villain super powers batman,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",8.035690278741058
14160,Animation Comedy Family Adventure,7.7,6870,92.201962,Up,age difference central and south america balloon animation floating in the air duringcreditsstinger exploring,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",7.544413179675685
1726,Action Science Fiction Adventure,7.4,8776,120.725053,Iron Man,middle east arms dealer malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe counter terrorism agent coulson,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",7.324311099439227
44826,Adventure Drama Family,7.0,2141,32.319043,Hugo,library clock film director key toy boy love orphan robot automaton hiding filmmaking leg brace doberman 3d,"Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which Hugo needs to find to unlock the secret he believes it contains. On his adventures, he meets with a shopkeeper, George Melies, who works in the train station and his adventure-seeking god-daughter. Hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past.",6.982903888497695
297761,Action Adventure Crime Fantasy Science Fiction,5.9,7458,90.23791999999999,Suicide Squad,dc comics shared universe anti hero secret mission villain superhero supervillain dc extended universe,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.",6.110211235950231
137113,Action Science Fiction,7.6,4858,79.456485,Edge of Tomorrow,deja vu time warp restart dystopia war alien military officer soldier alien invasion exoskeleton,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.",7.425119128768849
14869,Adventure Action Thriller Science Fiction,5.6,1962,32.852443,G.I. Joe: The Rise of Cobra,terrorist secret hostage technology warhead government president revenge murder attack explosion scientist lasers evil cobra,"From the Egyptian desert to deep below the polar ice caps, the elite G.I. JOE team uses the latest in next-generation spy and military equipment to fight the corrupt arms dealer Destro and the growing threat of the mysterious Cobra organization to prevent them from plunging the world into chaos.",6.259332631798688
150540,Drama Comedy Animation Family,8.0,6560,128.65596399999998,Inside Out,dream cartoon imaginary friend animation family moving kids unicorn duringcreditsstinger 3d emotions,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",7.773000539851369
